binom,max,prob.orn,logit.orn
Aeshna_interrupta,3351,0,-4.59511985
Aeshna_palmata,3343,0,-4.59511985
Aeshna_sitchensis,3097,0,-4.59511985
Aeshna_umbrosa,2117,0,-4.59511985
Celithemis_elisa,1655,0.224,-1.211023526
Celithemis_eponina,2616,0.337677357,-0.659180122
Cordulia_shurtleffi,3562,0,-4.59511985
Dythemis_fugax,1450,0.16118478,-1.600146901
Erpetogomphus_compositus,1365,0,-4.59511985
Erpetogomphus_designatus,1697,0,-4.59511985
Erythemis_collocata,1797,0,-4.59511985
Erythemis_simplicicollis,2490,0,-4.59511985
Leucorrhinia_glacialis,3141,0.026883333,-3.277657679
Leucorrhinia_hudsonica,3539,0.027475,-3.261228402
Leucorrhinia_intacta,2963,0.026855556,-3.278435167
Leucorrhinia_proxima,3241,0.028746667,-3.226740632
Libellula_forensis,2549,0.350538462,-0.603568541
Libellula_luctuosa,2127,0.396,-0.413471556
Libellula_pulchella,3339,0.289,-0.879796263
Libellula_quadrimaculata,3193,0.134322222,-1.801769695
Libellula_saturata,1885,0.576777778,0.303272137
Ophiogomphus_severus,2680,0,-4.59511985
Pachydiplax_longipennis,1792,0.275498032,-0.944520779
Pantala_flavescens,1633,0,-4.59511985
Perithemis_tenera,1712,1,4.59511985
Plathemis_lydia,2507,0.481,-0.074514459
Plathemis_subornata,1902,0.407405453,-0.367036323
Rhionaeschna_californica,2490,0,-4.59511985
Somatochlora_semicircularis,3362,0.010524258,-3.875933223
Sympetrum_corruptum,3729,0,-4.59511985
Sympetrum_costiferum,2836,0.041572727,-2.928941761
Sympetrum_danae,3214,0,-4.59511985
Sympetrum_internum,2836,0.027464286,-3.261523693
Sympetrum_madidum,1895,0.159754546,-1.610210035
Sympetrum_obtrusum,2607,0.027280667,-3.26659706
Sympetrum_pallipes,3032,0,-4.59511985
Sympetrum_semicinctum,2460,0.45,-0.196631102
Sympetrum_vicinum,1700,0.02631,-3.293820266
Tramea_lacerata,1844,0.241939266,-1.11413672
Tramea_onusta,1727,0.165522634,-1.570029535
