StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,elevation,ses,abs.Lat
4,Nerodia sipedon,V,Ecto,0.109,133,0.148,44.5233
4,Nerodia sipedon,V,Ecto,-0.017,133,0.186,44.5233
4,Nerodia sipedon,V,Ecto,0.23,133,0.2294,44.5233
4,Nerodia sipedon,V,Ecto,0.801,131,0.2323,44.5239
4,Nerodia sipedon,V,Ecto,0.3,133,0.2368,44.5233
4,Nerodia sipedon,V,Ecto,0.341,133,0.246,44.5233
4,Nerodia sipedon,V,Ecto,0.341,133,0.246,44.5233
4,Nerodia sipedon,V,Ecto,0.239,131,0.2567,44.5239
4,Nerodia sipedon,V,Ecto,0.292,131,0.299,44.5239
4,Nerodia sipedon,V,Ecto,1.151,131,0.3265,44.5239
4,Nerodia sipedon,V,Ecto,0.14,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,0.14,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,0.29,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,0.45,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,0.64,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,0.93,131,NA,44.5239
4,Nerodia sipedon,V,Ecto,1.15,131,NA,44.5239
11,Calopteryx splendens,I,Ecto,-0.639038,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,-0.394717,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,-0.204303,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,-0.078486,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,-0.03397,10,NA,55.7
11,Calopteryx splendens,I,Ecto,-0.011732,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,-0.008795,10,NA,55.7
11,Calopteryx splendens,I,Ecto,-0.004497,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.006626,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.01578,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.01586,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.05932,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.083301,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.087306,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.143312,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.155883,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.248766,33,NA,55.6333
11,Calopteryx splendens,I,Ecto,0.57138,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.77108,10,NA,55.7
11,Calopteryx splendens,I,Ecto,0.95977,33,NA,55.6333
14,Aquarius remigis,I,Ecto,0.01,167,NA,45.5405
14,Aquarius remigis,I,Ecto,0.12,167,NA,45.5405
14,Aquarius remigis,I,Ecto,0.08,190,NA,45.5444
14,Aquarius remigis,I,Ecto,-0.1,190,NA,45.5444
18,Asellus aquaticus,I,Ecto,0.6007,334,0.1214,47
18,Asellus aquaticus,I,Ecto,0.1803,334,0.1378,47
18,Asellus aquaticus,I,Ecto,0.4353,334,0.1593,47
18,Asellus aquaticus,I,Ecto,0.56,334,0.2408,47
18,Asellus aquaticus,I,Ecto,0.6501,334,0.3569,47
23,Carpodacus mexicanus,V,Endo,0.06,201,NA,32.6042
23,Carpodacus mexicanus,V,Endo,0,201,NA,32.6042
23,Carpodacus mexicanus,V,Endo,0.11,268,NA,42.2791
23,Carpodacus mexicanus,V,Endo,0,268,NA,42.2791
