record,date,locat,elev,temp,duration,spp,genus,family,pond.size,f.per.h
1,6/23/24,beaver pond,2479,23.38,5.47,lq,Libellula,Libs,168.8,60.67
2,6/23/24,beaver pond,2479,23.38,1.63,lq,Libellula,Libs,168.8,60.67
3,6/23/24,beaver pond,2479,23.38,1.37,lq,Libellula,Libs,168.8,60.67
4,6/23/24,beaver pond,2479,23.38,4.57,lq,Libellula,Libs,168.8,60.67
5,6/23/24,beaver pond,2479,23.38,2.56,lq,Libellula,Libs,168.8,60.67
6,6/23/24,beaver pond,2479,23.38,2.25,lq,Libellula,Libs,168.8,60.67
7,6/23/24,beaver pond,2479,23.38,4.09,lq,Libellula,Libs,168.8,60.67
8,6/23/24,beaver pond,2479,23.38,2.47,lq,Libellula,Libs,168.8,60.67
9,6/23/24,beaver pond,2479,23.38,3.7,lq,Libellula,Libs,168.8,60.67
10,6/23/24,beaver pond,2479,23.38,3.18,lq,Libellula,Libs,168.8,60.67
11,6/23/24,beaver pond,2479,23.38,3.84,lq,Libellula,Libs,168.8,60.67
12,6/23/24,beaver pond,2479,23.38,3.06,lq,Libellula,Libs,168.8,60.67
13,6/23/24,beaver pond,2479,23.38,7,lq,Libellula,Libs,168.8,60.67
14,6/23/24,beaver pond,2479,23.38,6,lq,Libellula,Libs,168.8,60.67
15,6/23/24,beaver pond,2479,23.38,4.72,lq,Libellula,Libs,168.8,60.67
16,6/23/24,beaver pond,2479,23.38,2.22,lq,Libellula,Libs,168.8,60.67
17,6/23/24,beaver pond,2479,23.38,2,lq,Libellula,Libs,168.8,60.67
18,6/23/24,beaver pond,2479,23.38,3.87,lq,Libellula,Libs,168.8,60.67
19,6/23/24,beaver pond,2479,23.38,1.44,lq,Libellula,Libs,168.8,60.67
20,6/23/24,beaver pond,2479,23.38,3.75,lq,Libellula,Libs,168.8,60.67
21,6/23/24,beaver pond,2479,23.38,1.79,lq,Libellula,Libs,168.8,60.67
22,6/23/24,beaver pond,2479,23.38,4.12,lq,Libellula,Libs,168.8,60.67
23,6/23/24,beaver pond,2479,23.38,2.35,lq,Libellula,Libs,168.8,60.67
24,6/23/24,beaver pond,2479,23.38,6.72,lq,Libellula,Libs,168.8,60.67
25,6/23/24,beaver pond,2479,23.38,2.09,lq,Libellula,Libs,168.8,60.67
26,6/23/24,beaver pond,2479,23.38,3.12,lq,Libellula,Libs,168.8,60.67
27,6/23/24,beaver pond,2479,23.38,2.66,lq,Libellula,Libs,168.8,60.67
28,6/23/24,beaver pond,2479,23.38,6.69,lq,Libellula,Libs,168.8,60.67
29,6/23/24,beaver pond,2479,23.38,4.6,lq,Libellula,Libs,168.8,60.67
30,6/23/24,beaver pond,2479,23.38,1.4,lq,Libellula,Libs,168.8,60.67
31,6/23/24,beaver pond,2479,23.38,2.13,lq,Libellula,Libs,168.8,60.67
32,6/23/24,beaver pond,2479,23.38,5.66,lq,Libellula,Libs,168.8,60.67
33,6/23/24,beaver pond,2479,23.38,1.38,lq,Libellula,Libs,168.8,60.67
34,6/23/24,beaver pond,2479,23.38,7.31,lq,Libellula,Libs,168.8,60.67
35,6/23/24,beaver pond,2479,23.38,3.72,lq,Libellula,Libs,168.8,60.67
36,6/23/24,beaver pond,2479,23.38,4.06,lq,Libellula,Libs,168.8,60.67
37,6/23/24,beaver pond,2479,23.38,4.5,lq,Libellula,Libs,168.8,60.67
38,6/23/24,beaver pond,2479,23.38,3.88,lq,Libellula,Libs,168.8,60.67
39,6/23/24,beaver pond,2479,23.38,10.1,lq,Libellula,Libs,168.8,60.67
40,6/23/24,beaver pond,2479,23.38,8.12,lq,Libellula,Libs,168.8,60.67
41,6/23/24,beaver pond,2479,23.38,3.25,lq,Libellula,Libs,168.8,60.67
42,6/23/24,beaver pond,2479,23.38,1.41,lq,Libellula,Libs,168.8,60.67
43,6/23/24,beaver pond,2479,23.38,5.6,lq,Libellula,Libs,168.8,60.67
44,6/23/24,beaver pond,2479,23.38,4.44,lq,Libellula,Libs,168.8,60.67
45,6/23/24,beaver pond,2479,23.38,4.03,lq,Libellula,Libs,168.8,60.67
46,6/23/24,beaver pond,2479,23.38,3.88,lq,Libellula,Libs,168.8,60.67
47,6/23/24,beaver pond,2479,23.38,5.44,lq,Libellula,Libs,168.8,60.67
48,6/23/24,beaver pond,2479,23.38,2,lq,Libellula,Libs,168.8,60.67
49,6/23/24,beaver pond,2479,23.38,4.47,lq,Libellula,Libs,168.8,60.67
50,6/23/24,beaver pond,2479,23.38,0.84,lq,Libellula,Libs,168.8,60.67
51,6/23/24,beaver pond,2479,23.38,2.78,lq,Libellula,Libs,168.8,60.67
52,6/23/24,beaver pond,2479,23.38,2.75,lq,Libellula,Libs,168.8,60.67
53,6/23/24,beaver pond,2479,23.38,8.16,lq,Libellula,Libs,168.8,60.67
54,6/23/24,beaver pond,2479,23.38,1.87,lq,Libellula,Libs,168.8,60.67
55,6/23/24,beaver pond,2479,23.38,4.44,lq,Libellula,Libs,168.8,60.67
56,6/23/24,beaver pond,2479,23.38,5,lq,Libellula,Libs,168.8,60.67
57,6/23/24,beaver pond,2479,23.38,1.72,lq,Libellula,Libs,168.8,60.67
58,6/23/24,beaver pond,2479,23.38,1.25,lq,Libellula,Libs,168.8,60.67
59,6/23/24,beaver pond,2479,23.38,1.75,lq,Libellula,Libs,168.8,60.67
60,6/23/24,beaver pond,2479,23.38,5.69,lq,Libellula,Libs,168.8,60.67
61,6/23/24,beaver pond,2479,23.38,2.5,lq,Libellula,Libs,168.8,60.67
62,6/23/24,beaver pond,2479,23.38,2.62,lq,Libellula,Libs,168.8,60.67
63,6/23/24,beaver pond,2479,23.38,3.84,lq,Libellula,Libs,168.8,60.67
64,6/23/24,beaver pond,2479,23.38,4.79,lq,Libellula,Libs,168.8,60.67
65,6/23/24,beaver pond,2479,23.38,1.66,lq,Libellula,Libs,168.8,60.67
66,6/23/24,beaver pond,2479,23.38,1.41,lq,Libellula,Libs,168.8,60.67
67,6/23/24,beaver pond,2479,23.38,2.91,lq,Libellula,Libs,168.8,60.67
68,6/23/24,beaver pond,2479,23.38,9.84,lq,Libellula,Libs,168.8,60.67
69,6/23/24,beaver pond,2479,23.38,3.46,lq,Libellula,Libs,168.8,60.67
70,6/23/24,beaver pond,2479,23.38,1.6,lq,Libellula,Libs,168.8,60.67
71,6/23/24,beaver pond,2479,23.38,4.22,lq,Libellula,Libs,168.8,60.67
72,6/23/24,beaver pond,2479,23.38,6.85,lq,Libellula,Libs,168.8,60.67
73,6/23/24,beaver pond,2479,23.38,9.25,lq,Libellula,Libs,168.8,60.67
74,6/23/24,beaver pond,2479,23.38,4.08,lq,Libellula,Libs,168.8,60.67
75,6/23/24,beaver pond,2479,23.38,3.53,lq,Libellula,Libs,168.8,60.67
76,6/23/24,beaver pond,2479,23.38,2,lq,Libellula,Libs,168.8,60.67
77,6/23/24,beaver pond,2479,23.38,3.03,lq,Libellula,Libs,168.8,60.67
78,6/23/24,beaver pond,2479,23.38,2.22,lq,Libellula,Libs,168.8,60.67
79,6/23/24,beaver pond,2479,23.38,4.47,lq,Libellula,Libs,168.8,60.67
80,6/23/24,beaver pond,2479,23.38,6.46,lq,Libellula,Libs,168.8,60.67
81,6/23/24,beaver pond,2479,23.38,1.35,lq,Libellula,Libs,168.8,60.67
82,6/23/24,beaver pond,2479,23.38,12.78,lq,Libellula,Libs,168.8,60.67
83,6/23/24,beaver pond,2479,23.38,2.37,lq,Libellula,Libs,168.8,60.67
84,6/23/24,beaver pond,2479,23.38,3.25,lq,Libellula,Libs,168.8,60.67
85,6/23/24,beaver pond,2479,23.38,4.78,lq,Libellula,Libs,168.8,60.67
86,6/23/24,beaver pond,2479,23.38,3.19,lq,Libellula,Libs,168.8,60.67
87,6/23/24,beaver pond,2479,23.38,5.65,lq,Libellula,Libs,168.8,60.67
88,6/23/24,beaver pond,2479,23.38,2.13,lq,Libellula,Libs,168.8,60.67
89,6/23/24,beaver pond,2479,23.38,2.44,lq,Libellula,Libs,168.8,60.67
90,6/23/24,beaver pond,2479,23.38,3.07,lq,Libellula,Libs,168.8,60.67
91,6/23/24,beaver pond,2479,23.38,3.94,lq,Libellula,Libs,168.8,60.67
92,6/24/24,meadowlake,1684,33.97,4.41,ply,Plathemis,Libs,623.5,40
93,6/24/24,meadowlake,1684,33.97,1.37,ply,Plathemis,Libs,623.5,40
94,6/24/24,meadowlake,1684,33.97,13.68,ply,Plathemis,Libs,623.5,40
95,6/24/24,meadowlake,1684,33.97,11.34,ply,Plathemis,Libs,623.5,40
96,6/24/24,meadowlake,1684,33.97,11.21,ply,Plathemis,Libs,623.5,40
97,6/24/24,meadowlake,1684,33.97,15.34,ply,Plathemis,Libs,623.5,40
98,6/24/24,meadowlake,1684,33.97,6.75,ply,Plathemis,Libs,623.5,40
99,6/24/24,meadowlake,1684,33.97,14.97,ply,Plathemis,Libs,623.5,40
100,6/24/24,meadowlake,1684,33.97,17.37,ply,Plathemis,Libs,623.5,40
101,6/24/24,meadowlake,1684,33.97,4.59,ply,Plathemis,Libs,623.5,40
102,6/24/24,meadowlake,1684,33.97,10.71,pten,Perithemis,Libs,623.5,40
103,6/24/24,meadowlake,1684,33.97,5.18,ply,Plathemis,Libs,623.5,40
104,6/24/24,meadowlake,1684,33.97,6.66,ply,Plathemis,Libs,623.5,40
105,6/24/24,meadowlake,1684,33.97,4.9,ply,Plathemis,Libs,623.5,40
106,6/24/24,meadowlake,1684,33.97,10.43,ply,Plathemis,Libs,623.5,40
107,6/24/24,meadowlake,1684,33.97,12.81,ply,Plathemis,Libs,623.5,40
108,6/24/24,meadowlake,1684,33.97,13.77,ply,Plathemis,Libs,623.5,40
109,6/24/24,meadowlake,1684,33.97,9.59,ply,Plathemis,Libs,623.5,40
110,6/24/24,meadowlake,1684,33.97,8.75,ply,Plathemis,Libs,623.5,40
111,6/24/24,meadowlake,1684,33.97,2.12,ply,Plathemis,Libs,623.5,40
112,6/24/24,meadowlake,1684,33.97,5.5,ply,Plathemis,Libs,623.5,40
113,6/24/24,meadowlake,1684,33.97,3.5,ply,Plathemis,Libs,623.5,40
114,6/24/24,meadowlake,1684,33.97,5.38,ply,Plathemis,Libs,623.5,40
115,6/24/24,meadowlake,1684,33.97,4.34,ply,Plathemis,Libs,623.5,40
116,6/24/24,meadowlake,1684,33.97,10.97,ply,Plathemis,Libs,623.5,40
117,6/24/24,meadowlake,1684,33.97,12.56,ply,Plathemis,Libs,623.5,40
118,6/24/24,meadowlake,1684,33.97,23.85,ply,Plathemis,Libs,623.5,40
119,6/24/24,meadowlake,1684,33.97,25.59,ply,Plathemis,Libs,623.5,40
120,6/24/24,meadowlake,1684,33.97,3.6,ply,Plathemis,Libs,623.5,40
121,6/24/24,meadowlake,1684,33.97,8,ply,Plathemis,Libs,623.5,40
122,6/25/24,mud lake,2554,29,2.79,lq,Libellula,Libs,435.71,80
123,6/25/24,mud lake,2554,29,4.56,lq,Libellula,Libs,435.71,80
124,6/25/24,mud lake,2554,29,6.21,lq,Libellula,Libs,435.71,80
125,6/25/24,mud lake,2554,29,7.4,lq,Libellula,Libs,435.71,80
126,6/25/24,mud lake,2554,29,4.1,lq,Libellula,Libs,435.71,80
127,6/25/24,mud lake,2554,29,2.81,lq,Libellula,Libs,435.71,80
128,6/25/24,mud lake,2554,29,3.44,lq,Libellula,Libs,435.71,80
129,6/25/24,mud lake,2554,29,5.47,lq,Libellula,Libs,435.71,80
130,6/25/24,mud lake,2554,29,9.31,lq,Libellula,Libs,435.71,80
131,6/25/24,mud lake,2554,29,1.66,lpull,Libellula,Libs,435.71,80
132,6/25/24,mud lake,2554,29,2.53,lq,Libellula,Libs,435.71,80
133,6/25/24,mud lake,2554,29,5.16,lq,Libellula,Libs,435.71,80
134,6/25/24,mud lake,2554,29,0.66,lq,Libellula,Libs,435.71,80
135,6/25/24,mud lake,2554,29,4.84,lq,Libellula,Libs,435.71,80
136,6/25/24,mud lake,2554,29,3.78,lq,Libellula,Libs,435.71,80
137,6/25/24,mud lake,2554,29,3.53,lq,Libellula,Libs,435.71,80
138,6/25/24,mud lake,2554,29,1.13,lq,Libellula,Libs,435.71,80
139,6/25/24,mud lake,2554,29,2.1,lq,Libellula,Libs,435.71,80
140,6/25/24,mud lake,2554,29,2.62,lq,Libellula,Libs,435.71,80
141,6/25/24,mud lake,2554,29,3.09,lq,Libellula,Libs,435.71,80
142,6/25/24,mud lake,2554,29,1.34,lq,Libellula,Libs,435.71,80
143,6/25/24,mud lake,2554,29,1.53,lq,Libellula,Libs,435.71,80
144,6/25/24,mud lake,2554,29,3.28,lq,Libellula,Libs,435.71,80
145,6/25/24,mud lake,2554,29,2.84,lq,Libellula,Libs,435.71,80
146,6/25/24,mud lake,2554,29,1.56,lq,Libellula,Libs,435.71,80
147,6/25/24,mud lake,2554,29,8.58,lq,Libellula,Libs,435.71,80
148,6/25/24,mud lake,2554,29,2.94,lq,Libellula,Libs,435.71,80
149,6/25/24,mud lake,2554,29,18.69,lpull,Libellula,Libs,435.71,80
150,6/25/24,mud lake,2554,29,3.63,lpull,Libellula,Libs,435.71,80
151,6/25/24,mud lake,2554,29,2.66,lpull,Libellula,Libs,435.71,80
152,6/25/24,mud lake,2554,29,4.57,lpull,Libellula,Libs,435.71,80
153,6/25/24,mud lake,2554,29,2.78,lq,Libellula,Libs,435.71,80
154,6/25/24,mud lake,2554,29,1.06,lq,Libellula,Libs,435.71,80
155,6/25/24,mud lake,2554,29,2.32,lq,Libellula,Libs,435.71,80
156,6/25/24,mud lake,2554,29,5.32,lq,Libellula,Libs,435.71,80
157,6/25/24,mud lake,2554,29,1.5,lq,Libellula,Libs,435.71,80
158,6/25/24,mud lake,2554,29,3.53,lq,Libellula,Libs,435.71,80
159,6/25/24,mud lake,2554,29,5.47,lq,Libellula,Libs,435.71,80
160,6/25/24,mud lake,2554,29,1.44,lq,Libellula,Libs,435.71,80
