"ind","date","sp","setting","po2","time","duration","front.wing.area","rear.wing.area","body.length","mass","notes"
1,"27-Jul","lpull",0,130.7,"02:15.9",135.9,347.775,403.21,51.709,0.4694,""
2,"27-Jul","lpull",10,94.4,"01:10.4",70.4,388.237,466.996,54.347,0.5418,""
3,"27-Jul","lluc",10,94.4,"01:23.2",83.2,310.287,392.673,46.869,0.3202,""
4,"27-Jul","lluc",0,130.7,"01:51.4",111.4,335.252,418.463,48.15,0.4126,"bad wings"
5,"28-Jul","lpull",10,94.4,"01:52.5",112.5,394.005,471.305,56.954,0.6563,""
6,"28-Jul","lpull",10,94.4,"01:30.4",90.4,345.216,403.167,52.611,0.4985,""
7,"28-Jul","lluc",10,94.4,"01:23.0",82.98,319.13,416.053,46.26,0.3951,""
8,"28-Jul","lpull",10,94.4,"00:53.7",53.7,343.202,418.076,54.158,0.5466,""
9,"28-Jul","lpull",0,130.7,"02:02.5",122.5,360.756,429.212,51.44,0.5036,""
10,"28-Jul","lpull",0,130.7,"01:36.8",96.8,382.061,453.88,55.526,0.57,"hard one - didn't wanna fly"
11,"28-Jul","lluc",0,130.7,"01:55.2",115.2,340.229,433.163,47.19,0.4161,""
12,"28-Jul","lpull",0,130.7,"02:03.7",123.7,326.799,372.534,51.157,0.482,""
13,"7/30/24","lpull",0,130.7,"02:09.1",129.1,339.102,368.992,47.743,0.453,""
14,"7/30/24","lluc",0,130.7,"02:12.1",132.1,360.356,393.62,51.196,0.4505,""
15,"7/30/24","lpull",0,130.7,"02:38.7",158.7,354.645,417.534,51.865,0.467,""
16,"7/30/24","lpull",10,94.4,"01:04.8",64.8,374.57,448.245,55.304,0.5622,""
17,"7/30/24","lluc",10,94.4,"00:43.5",43.5,324.852,427.685,46.878,0.3575,""
18,"7/30/24","lpull",10,94.4,"01:28.5",88.5,386.452,459.069,56.674,0.598,""
19,"8/1/24","lluc",0,130.7,"02:09.7",129.7,345.303,452.273,48.771,0.4395,""
20,"8/1/24","lluc",0,130.7,"01:50.4",110.4,362.287,465.185,49.416,0.4278,""
21,"8/1/24","lluc",0,130.7,"01:56.5",116.5,281.651,370.748,44.152,0.3036,""
22,"8/1/24","lluc",0,130.7,"",NA,320.098,409.116,43.934,0.3462,"was not awake when trial started"
23,"8/1/24","lpull",3,116.9,"02:04.6",124.6,330.88,421.548,52.814,0.528,""
24,"8/1/24","lpull",3,116.9,"01:50.4",110.4,319.517,382.281,53.351,0.5308,""
25,"8/1/24","lpull",5,110.7,"01:38.1",98.1,314.345,403.106,52.603,0.5295,""
26,"8/1/24","lluc",5,110.7,"01:35.5",95.1,322.597,431.382,46.102,0.3427,""
27,"8/1/24","lpull",8,99.4,"01:20.5",80.5,301.16,359.647,50.831,0.5108,""
28,"8/1/24","lpull",8,99.4,"01:41.6",101.6,352.123,411.227,51.956,0.4919,""
29,"8/1/24","lluc",8,99.4,"01:32.2",92.2,313.645,426.606,48.448,0.415,""
30,"8/1/24","lluc",10,94.4,"00:56.8",56.8,310.311,404.224,47.436,0.4062,""
31,"8/1/24","lluc",10,94.4,"01:49.8",NA,332.513,387.065,47.07,0.3801,"corner of tent was open during drial"
32,"8/3/24","lluc",10,94.4,"27.86",27.86,NA,NA,NA,NA,""
33,"8/3/24","lluc",10,94.4,"41.66",41.66,NA,NA,NA,NA,""
34,"8/3/24","lpull",10,94.4,"01:22.9",82.9,364.783,449.684,54.122,0.5151,""
35,"8/3/24","lpull",8,99.4,"01:48.1",108.1,NA,NA,NA,NA,""
