"elevation","genus","spp","family","body.mass","total.length"
2770,"Aeshna","palmata","Aeshnids",0.5881,6.028
1660,"Sympetrum","corruptum","Libs",0.0917,3.425
1660,"Sympetrum","corruptum","Libs",0.1491,3.779
1670,"Libellula","quadrimaculata","Libs",0.3065,3.927
1670,"Libellula","quadrimaculata","Libs",0.2755,NA
1670,"Libellula","quadrimaculata","Libs",0.3109,3.821
1670,"Libellula","quadrimaculata","Libs",0.2847,3.725
1670,"Libellula","quadrimaculata","Libs",0.3017,3.797
1670,"Libellula","quadrimaculata","Libs",0.2546,3.801
1670,"Libellula","quadrimaculata","Libs",0.2979,3.795
1670,"Libellula","quadrimaculata","Libs",0.446,3.686
1670,"Libellula","quadrimaculata","Libs",0.3045,3.894
1670,"Libellula","quadrimaculata","Libs",0.2688,3.603
1670,"Libellula","quadrimaculata","Libs",NA,3.771
2479,"Libellula","quadrimaculata","Libs",0.2478,3.526
1670,"Rhionaeschna","multicolor","Aeshnids",0.3783,4.98
1670,"Pachydiplax","longipennis","Libs",NA,3.444
1670,"Libellula","quadrimaculata","Libs",0.3072,4.003
1670,"Libellula","quadrimaculata","Libs",0.3311,3.838
1645,"Pachydiplax","longipennis","Libs",NA,3.266
1645,"Gomphus","militaris","Gomphs",NA,4.748
1645,"Gomphus","militaris","Gomphs",NA,4.821
1591,"Tramea","onusta","Libs",NA,4.098
1670,"Libellula","luctuosa","Libs",0.3326,4.106
1670,"Tramea","onusta","Libs",NA,3.96
1670,"Tramea","onusta","Libs",0.2311,3.851
1670,"Libellula","quadrimaculata","Libs",0.3016,3.63
1670,"Libellula","quadrimaculata","Libs",0.4708,3.652
1670,"Libellula","quadrimaculata","Libs",0.338,3.598
1670,"Anax","junius","Aeshnids",0.8553,6.32
1670,"Anax","junius","Aeshnids",1.0091,5.922
1670,"Anax","junius","Aeshnids",0.7228,6.02
1670,"Libellula","pulchella","Libs",0.4285,4.451
1670,"Libellula","quadrimaculata","Libs",0.3516,3.797
1670,"Plathemis","lydia","Libs",0.3231,3.82
1670,"Anax","junius","Aeshnids",0.8592,6.248
1670,"Libellula","pulchella","Libs",0.4768,4.63
1670,"Tramea","lacerata","Libs",0.3131,NA
1670,"Libellula","luctuosa","Libs",0.4033,4.182
1670,"Libellula","pulchella","Libs",0.4532,4.61
1645,"Epitheca","petechialis","Libs",NA,3.645
1645,"Epitheca","petechialis","Libs",0.1392,3.895
1645,"Epitheca","simplicicollis","Libs",0.1152,2.582
2479,"Libellula","quadrimaculata","Libs",NA,3.675
2479,"Libellula","quadrimaculata","Libs",0.3099,3.889
2479,"Libellula","quadrimaculata","Libs",0.1948,3.747
2479,"Libellula","quadrimaculata","Libs",0.2118,3.735
2479,"Libellula","quadrimaculata","Libs",0.2093,3.637
2479,"Libellula","quadrimaculata","Libs",NA,3.767
2479,"Libellula","quadrimaculata","Libs",NA,3.961
2479,"Libellula","quadrimaculata","Libs",NA,3.631
2479,"Libellula","quadrimaculata","Libs",NA,3.526
2479,"Libellula","quadrimaculata","Libs",NA,3.502
2479,"Libellula","quadrimaculata","Libs",NA,3.565
2479,"Libellula","quadrimaculata","Libs",0.1958,3.687
2479,"Libellula","quadrimaculata","Libs",0.2256,3.744
2479,"Libellula","quadrimaculata","Libs",0.3815,3.563
3237,"Libellula","quadrimaculata","Libs",0.3389,3.816
3237,"Libellula","quadrimaculata","Libs",0.2771,3.599
3237,"Libellula","quadrimaculata","Libs",NA,3.028
2823,"Leucorrhinia","proxima","Libs",NA,3.337
2823,"Cordulia","shurttlefii","Cords",NA,3.741
2823,"Cordulia","shurttlefii","Cords",0.1316,3.475
2823,"Cordulia","shurttlefii","Cords",NA,3.779
3237,"Libellula","quadrimaculata","Libs",0.3339,3.727
3237,"Libellula","quadrimaculata","Libs",0.3138,3.921
3237,"Libellula","quadrimaculata","Libs",0.4818,3.799
3237,"Libellula","quadrimaculata","Libs",0.3023,3.744
3237,"Libellula","quadrimaculata","Libs",0.28,3.935
3237,"Libellula","quadrimaculata","Libs",0.3542,3.994
1645,"Libellula","luctuosa","Libs",0.4233,4.45
1645,"Libellula","luctuosa","Libs",0.377,4.55
1645,"Libellula","pulchella","Libs",0.431,4.488
1645,"Libellula","luctuosa","Libs",0.3773,2.664
1645,"Libellula","luctuosa","Libs",0.4031,4.331
1645,"Libellula","luctuosa","Libs",0.3117,3.898
1645,"Libellula","luctuosa","Libs",0.3465,4.133
1645,"Libellula","pulchella","Libs",0.4968,4.649
1645,"Libellula","pulchella","Libs",0.4846,4.416
1645,"Libellula","pulchella","Libs",0.4349,4.683
1645,"Libellula","pulchella","Libs",0.3938,4.368
3237,"Libellula","quadrimaculata","Libs",0.3646,3.939
3237,"Libellula","quadrimaculata","Libs",0.2764,3.521
3237,"Libellula","quadrimaculata","Libs",NA,3.7
3237,"Libellula","quadrimaculata","Libs",NA,2.882
3237,"Libellula","quadrimaculata","Libs",NA,3.335
3237,"Libellula","quadrimaculata","Libs",0.3017,3.086
2479,"Sympetrum","internum","Libs",0.069,2.651
2479,"Aeshna","palmata","Aeshnids",0.5352,5.919
2479,"Aeshna","palmata","Aeshnids",0.5385,6.584
2479,"Aeshna","palmata","Aeshnids",0.5838,5.893
2479,"Aeshna","palmata","Aeshnids",0.6327,6.219
2479,"Aeshna","palmata","Aeshnids",0.6062,6.068
2479,"Aeshna","palmata","Aeshnids",0.5998,5.724
2479,"Aeshna","palmata","Aeshnids",NA,5.541
2479,"Aeshna","palmata","Aeshnids",0.5831,5.694
2479,"Aeshna","palmata","Aeshnids",0.5963,5.68
2479,"Aeshna","palmata","Aeshnids",0.5966,5.902
2823,"Aeshna","eremita","Aeshnids",0.679,6.116
2823,"Aeshna","eremita","Aeshnids",0.6258,6.577
2823,"Aeshna","palmata","Aeshnids",NA,4.869
2823,"Leucorrhinia","proxima","Libs",NA,3.077
2823,"Leucorrhinia","proxima","Libs",NA,3.087
2823,"Leucorrhinia","proxima","Libs",0.0642,3.015
2823,"Leucorrhinia","proxima","Libs",NA,3.094
2823,"Leucorrhinia","proxima","Libs",NA,3
2823,"Leucorrhinia","proxima","Libs",NA,3.106
2823,"Leucorrhinia","proxima","Libs",NA,2.985
2823,"Leucorrhinia","proxima","Libs",0.0524,3.073
2823,"Cordulia","shurttlefii","Cords",0.1444,3.9
1645,"Libellula","luctuosa","Libs",0.4175,4.275
1645,"Libellula","luctuosa","Libs",0.3601,4.206
1645,"Libellula","luctuosa","Libs",0.3488,4.135
1645,"Libellula","luctuosa","Libs",0.312,4.005
1645,"Libellula","luctuosa","Libs",0.3566,4.163
1645,"Libellula","pulchella","Libs",0.3468,4.373
1645,"Libellula","luctuosa","Libs",0.3166,4.369
1645,"Libellula","luctuosa","Libs",NA,4.338
1645,"Libellula","luctuosa","Libs",0.3725,4.349
1645,"Libellula","luctuosa","Libs",NA,4.356
1645,"Libellula","luctuosa","Libs",0.2362,3.804
1645,"Libellula","luctuosa","Libs",0.3675,4.126
1645,"Aeshna","palmata","Aeshnids",0.6866,6.238
1645,"Libellula","pulchella","Libs",0.4744,4.827
1645,"Libellula","pulchella","Libs",0.5075,2.91
2823,"Aeshna","eremita","Aeshnids",0.7938,6.153
2823,"Aeshna","palmata","Aeshnids",0.5841,5.93
2823,"Leucorrhinia","proxima","Libs",NA,3.234
2823,"Leucorrhinia","proxima","Libs",0.0542,3.099
2770,"Sympetrum","internum","Libs",0.0127,2.414
2770,"Aeshna","palmata","Aeshnids",0.5897,5.228
2770,"Aeshna","palmata","Aeshnids",0.5798,5.851
2770,"Aeshna","palmata","Aeshnids",0.6365,5.904
2770,"Aeshna","palmata","Aeshnids",0.6419,6.593
2770,"Leucorrhinia","proxima","Libs",0.0786,3.371
2770,"Leucorrhinia","proxima","Libs",0.0422,3.686
2770,"Leucorrhinia","proxima","Libs",0.0494,2.917
3152,"Aeshna","eremita","Aeshnids",0.6345,6.732
1645,"Libellula","luctuosa","Libs",0.3525,4.126
1645,"Libellula","luctuosa","Libs",0.3497,4.099
3213,"Aeshna","palmata","Aeshnids",0.5535,5.856
3213,"Aeshna","palmata","Aeshnids",0.5749,6.18
3213,"Aeshna","palmata","Aeshnids",0.624,5.942
3152,"Somatochlora","hudsonica","Cords",0.2233,4.577
3152,"Aeshna","palmata","Aeshnids",0.5636,5.896
3152,"Aeshna","palmata","Aeshnids",0.5961,6.019
1645,"Aeshna","palmata","Aeshnids",0.6002,5.91
1645,"Aeshna","palmata","Aeshnids",0.6276,6.385
1645,"Libellula","pulchella","Libs",0.4793,4.722
3213,"Aeshna","eremita","Aeshnids",0.6555,6.579
3213,"Somatochlora","hudsonica","Cords",0.1732,4.135
3213,"Aeshna","palmata","Aeshnids",0.6633,6.072
3213,"Aeshna","palmata","Aeshnids",0.6259,6.152
3213,"Aeshna","palmata","Aeshnids",0.629,6.312
3213,"Aeshna","palmata","Aeshnids",NA,6.32
3213,"Aeshna","palmata","Aeshnids",NA,5.746
3213,"Aeshna","palmata","Aeshnids",0.5591,4.771
1645,"Gomphus","militaris","Gomphs",0.2329,4.422
1670,"Tramea","lacerata","Libs",NA,3.887
