StudyID,Species,Taxon.group,Endo.Ecto,linear.coefs,linear.coefs.se,elevation,abs.Lat,Genus,family,order,class
15,Parus caeruleus,V,Endo,-1.426510584,0.60238109,29,42.5667,Parus,Paridae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,-0.8,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
73,Lacerta agilis,V,Ecto,-0.759,0.472,5,57.3947,Lacerta,Laceratidae,Squamata,Reptilia
15,Parus caeruleus,V,Endo,-0.704837692,0.51898546,593,42.55,Parus,Paridae,Passeriformes,Ave
73,Lacerta agilis,V,Ecto,-0.595,0.454,5,57.3947,Lacerta,Laceratidae,Squamata,Reptilia
101,Zosterops lateralis chlorocephalus,V,Endo,-0.535,NA,-17,23.4333,Zosterops,Zosteropidae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.496708399,1.21816711,29,42.5667,Parus,Paridae,Passeriformes,Ave
79,Phasianus colchicus,V,Endo,-0.43,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.41,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
61,Negaprion brevirostris,V,Ecto,-0.4,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
79,Phasianus colchicus,V,Endo,-0.4,NA,17,55.7232,Phasianus,Phasianidae,Galliformes,Ave
61,Negaprion brevirostris,V,Ecto,-0.35,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
15,Parus caeruleus,V,Endo,-0.348872989,0.36895598,29,42.5667,Parus,Paridae,Passeriformes,Ave
15,Parus caeruleus,V,Endo,-0.332686522,0.39567515,232,43.6667,Parus,Paridae,Passeriformes,Ave
132,Anolis sagrei,V,Ecto,-0.32,0.15,-1,23.4833,Anolis,Dactyloidae,Squamata,Reptilia
11,Calopteryx splendens,I,Ecto,-0.294091,NA,10,55.7,Calopteryx,Calopterygidae,Odonata,Insecta
75,Salmo salar,V,Ecto,-0.28,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
61,Negaprion brevirostris,V,Ecto,-0.27,NA,8,25.745,Negaprion,Carcharhinidae,Elasmobranchii,Chondrichthyes
75,Salmo salar,V,Ecto,-0.27,NA,124,42.4167,Salmo,Salmonidae,Salmoniformes,Actinopterygii
